Name,What it does (technical),How it helps automated designs,Drawbacks,Plain-language explanation,Source,Recommend (0-100)
16:9 Default Aspect Ratio,prs.slide_width = Emu(12192000); prs.slide_height = Emu(6858000) — type screen16x9; reserve screen4x3 only for legacy projectors,"Single canonical canvas means one layout math, no branching for legacy 4:3",Legacy projectors and some handouts still want 4:3; vertical/social needs 9:16 master,Like choosing widescreen versus old-TV — pick widescreen unless you know the screen is square,Inside: ultimate-designer + outside research,79
Slide Safe-Area Inset,Reserve ~0.5in (457200 EMU) on all four edges on a 16:9 letterbox; encode via slide-layout placeholder <a:xfrm> rather than per-shape so every slide inherits,Prevents body content from kissing the bezel on projector overscan; guarantees print-bleed cutoff doesn't lose text,Full-bleed photo slides intentionally violate the safe area — needs a layout flag,"Like writing inside the painted lines of a parking spot — even if the car fits on the line, it looks polished when it doesn't",Inside: design-variants + outside research,77
Sentence-Title Takeaway,"Title placeholder = a complete sentence stating the takeaway, not a topic label. Cap at ~90 chars to fit one line at 28-32pt. LLM prompt: title = the conclusion, not the topic",LLMs already write summary sentences — emit one as the title and the body is freed to support it; QA can grade ''does body support headline?'',Some corporate templates expect noun-phrase titles (''Q3 Performance''); style guide may forbid,"The slide title is the punchline, not the topic of the joke","Inside: ascent-renderer, forge + outside research",81
One Message Per Slide,A slide may contain ≤1 H1 + ≤1 body block + ≤1 visual; Gamma's card system makes this default. Auto-split overflow content into a sibling slide rather than shrinking type,Auto-splitting is mechanical (regex split on H1); shrinking type is quality-debt landmine,"Inflates slide count — conflicts with Kawasaki's 10-slide ceiling; use when audience reads, not watches","Each slide gets exactly one thing to say, like an index card on a corkboard",Outside (research),68
6x6 Bullet Cap,"Validator: len(bullets) ≤ 6 AND max(words_per_bullet) ≤ 6. If violated, split slide, collapse to one sentence, or demote to slidedoc layout",Hard numeric cap is the easiest validator to write; output stays parseable in a 5-second glance,Treats all content as outline-shaped; loses nuance Tufte criticizes,"No more than six bullets, no more than six words each — like a tweet broken into a list",Outside (research),66
30pt Minimum Body Font Kawasaki,paragraph.font.size = Pt(30) as floor on body placeholders; titles 36-44pt; disable PowerPoint auto-fit shrink,Forces upstream content compression; auto-overflow becomes a deterministic ''split slide'' branch,"Slidedocs (read, not presented) intentionally use 11-14pt; rule must be mode-gated","If you can't read it from the back row, the slide is wrong — not the room",Inside: doc-design-qa + outside research,76
Disable Native Auto-Fit,tf.auto_size = MSO_AUTO_SIZE.NONE in python-pptx OR <a:bodyPr><a:noAutofit/></a:bodyPr> in OOXML,Outputs reproducible across PowerPoint / Keynote / LibreOffice renderers — no surprise 11-pt slides where Office silently shrank the text,Costs the free ''shrink to fit'' fallback; you must implement split-on-overflow,Lock the text box so PowerPoint can't secretly shrink your font behind your back,Outside (research),68
Slide Layout Typology,"Author 5-7 slide layouts: title, section-divider, content-1col, content-2col, full-bleed-image, data-chart, quote, closer. Each layout pre-positions title, body, footer, and picture placeholder",LLM classifies each input chunk → picks a layout enum → one branch per layout. Mechanical and testable,"Adding a new content shape later means editing master XML, not just slides",Like pre-printed forms for different types of content — fill in the blanks instead of designing each page from scratch,Outside (research),67
Bottom-Pinned Slide Footer,"Three placeholders on the master at y = slide_height - 360000 EMU (~0.4in from bottom): left = logo (picture placeholder), center = section, right = <a:fld type=''slidenum''/>. Anchor MSO_ANCHOR.BOTTOM",Generator writes nothing to the master — placeholders self-populate from layout inheritance + slide-number field auto-counts,Section field needs a custom XML property plus section-number tracking,"Every slide gets a small badge at the bottom — logo on the left, what section you're in, what page you're on","Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Master-Defined Vertical Rhythm,Master-level <a:bodyPr lIns=''91440'' tIns=''45720'' rIns=''91440'' bIns=''45720''> plus <a:spcBef><a:spcPts val=''600''/></a:spcBef> (6pt before each paragraph),A single value change in the master cascades to every slide; generator emits no inline spacing,"Inheritance is silent — if a slide overrides locally, debugging requires XML diff",Set the line-spacing once in the template and every slide inherits — like CSS variables for slides,"Inside: ascent-renderer, brad, design-variants, forge, ultimate-designer + outside research",84
Section Divider Slides,"Dedicated section-divider layout with saturated background fill, large numeral (''02''), and section title. Generator inserts before any chapter transition. Color cycles through 3-6 swatches",Visual pause — reader's eye resets — without writing transition animations,Adds slide count; conflicts with 10-slide pitches,A bold full-color slide that says ''Section 2: Market'' — like a chapter title page in a book,Outside (research),69
Full-Bleed Image With Scrim,"Picture shape sized to full slide plus MSO_SHAPE.RECTANGLE overlay at 40-60% black, or <a:gradFill> from transparent to 70% black covering the lower third. Title placeholder lifted above scrim with white text",Image carries the message; scrim is a single rectangle the generator always adds — no per-image contrast checking needed at minimum 50% opacity,Some images become illegible regardless; ideally measure luminance under title region before falling back,"Big photo, dark gradient on the bottom so the white words still read","Inside: ascent-renderer, brad, doc-design-qa, ultimate-designer + outside research",84
Chart Slide One Chart One Sentence,python-pptx chart.has_gridlines = False; one chart shape per slide; title placeholder = the takeaway (''Revenue grew 38% YoY''); axis labels at 18pt; data labels on highest 1-2 points only,Tufte-style high data-ink ratio falls out of removing default chrome — every default-off is one fewer parameter,Removing gridlines from non-time-series scatterplots can hurt comparison; gate on chart type,"One chart, one sentence saying what it proves, no extra lines or labels cluttering it",Inside: doc-design-qa + outside research,84
Quote Slide Layout,"Body placeholder at ~44pt italic centered, attribution placeholder at 18pt regular below right-aligned with em-dash prefix; smart-quotes mandatory","Whenever input matches quote: ''...'', by: ''...'' schema, this layout fires deterministically",Over-use makes a deck feel like a Pinterest board,"Big curly quote in italic, name underneath — the ''framed quote on the wall'' slide",Inside: design-variants + outside research,79
Build Reveal Sequencing,OOXML <p:timing> with <p:par> containing <p:cTn> nodes per paragraph; presetID=''1'' (appear) per bullet; write XML directly into slide.element via lxml,Reveals control pace without splitting into N slides; preserves the 10-slide budget,Animations look amateur if overused (Reynolds: ''weapons of distraction''); printed handouts collapse builds,Bullets appear one at a time on click — like flashcards inside one slide,Inside: doc-design-qa + outside research,77
Z-Pattern Coordinate Anchors,"OOXML title x=457200, y=457200; visual x=7200000, y=457200; CTA x=9000000, y=6000000 — hard-coded positions for content-with-CTA slide-type",Hard-coded grid coordinates per layout — no aesthetic decision at runtime,RTL languages reverse the pattern; need locale-aware layout flipping,Eyes start top-left and zig-zag to bottom-right — put the important stuff on that path,"Inside: brad, forge + outside research",79
Image Position Heuristic,"Layout templates enforce picture placeholder positions in {top-band, right-column, full-bleed}. Never auto-emit a layout where picture occupies bottom-left while text occupies top-right (anti-Z)",Mechanical CI assertion catches accidentally-bad layouts at generation time,"Some intentional contra-Z layouts (e.g., a ''footer'' author portrait) are valid exceptions and need opt-out",Pictures go up top or on the right — not tucked into the lower-left corner,"Inside: ascent-renderer, brad, ultimate-designer + outside research",81
Slidedoc Dense Reading Mode,"Separate master with 14pt body, 1.25 line-spacing, 2-column body placeholders, no title placeholder on every slide; generator switches when --mode=slidedoc",Single mode flag flips the entire style sheet; same content tree renders differently for read-vs-present,"Two parallel masters to maintain; output is a document, not a presentation — don't project it","Sometimes the deck is a handout to read alone, not a slideshow — use a denser layout for that","Inside: ascent-renderer, design-variants + outside research",81
Smart-Layout Fallback Chain,"For each slide rank N candidate layouts by content fit (number of bullets, image presence, table shape); emit #1, expose #2-#5 as ''swap layout'' options via sidecar JSON","Editor sees options, not a blank choice — feels less ''AI-rigid''",Memory cost; only 2-3 alternates usually viewed,The system picks one layout but keeps two spares ready in case you want to swap,"Inside: brad, ultimate-designer + outside research",81
Maximize Data-Ink Ratio,"matplotlib ax.spines['top'/'right'].set_visible(False); ax.tick_params(length=0); plotly fig.update_layout(plot_bgcolor='white', xaxis_showgrid=False); chart.js scales.x.grid.display=false",One-line config delta lifts default chart from ''Excel screenshot'' to ''publication-grade'',Tufte's minimalism is empirically less memorable than mildly-decorated charts (Bateman 2010),Wiping fingerprints off a glass display case — you actually see what's inside,Outside (research),67
No 3D Charts,"Hard ban: refuse chart_type in {bar3d, pie3d, surface3d}",Single boolean filter at chart-router level; eliminates perception-distortion class without judgement,"Genuine 3D data (terrain, volumetric) loses renderer",Reading a price tag through a beveled magnifying glass — the price changes depending on the angle,Outside (research),69
Cap Pies At 5 Slices,if categories > 5: chart_type = ''bar''. Aggregate smallest into ''Other'' if pie unavoidable,Trivial categorical-count check at chart-router,Loses long-tail visibility,Pies ask your eye to compare angles (we're bad at it). Bars ask you to compare lengths (we evolved to do it),Outside (research),66
Donut With Center Stat,plotly go.Pie(hole=0.55) plus annotation; chart.js doughnut plus center plugin,Center-stat carries headline; slices give breakdown — the only acceptable pie variant,Center-stat overlaps external labels — disable when on,A donut with a number in the hole is like a pizza with the bill printed in the middle,Outside (research),70
Y-Axis Starts At Zero,"matplotlib ax.set_ylim(0, ...); plotly yaxis_rangemode='tozero'; chart.js scales.y.beginAtZero: true (bar charts only)",Pure config; eliminates ''deceptive bar chart'' reviewer findings,"Bars in tight ranges look identical — switch chart type, don't break the rule",Bars work because length equals number — cropping the bottom is the real-estate-photo trick that hides the dumpster,Outside (research),67
Single-Accent Chart Color,palette = [neutral_gray] × n with palette[highlight] = brand_accent — desaturate every series except the one being argued for,Forces generator to declare what the chart is about,Requires upstream ''which series matters'' metadata,Turn down every voice in the choir except the one singing the melody,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Viridis For Sequential Colormaps,matplotlib cmap='viridis'; plotly colorscale='Viridis'; D3 d3.interpolateViridis — CVD-safe and print-safe by construction (monotonic luminance),Default colormap that works for ~8% of men with colorblindness and survives black-and-white print,Yellow end of viridis vanishes on light backgrounds,"''Darker = lower, brighter = higher'' works for everyone, including the colorblind. Old rainbow/jet lies — it shows fake stripes",Outside (research),67
ColorBrewer Family By Data Shape,"Three families: sequential (one-direction magnitude), diverging (signed deviation), qualitative (unordered categories); pick family by inspecting data","Generator picks family by inspecting data — monotone → sequential, signed → diverging, categorical → qualitative",Wrong family lies about the data,"Like picking the right type of map for the data — a thermometer for one-way magnitudes, a thermostat for things measured from a midpoint, sports jerseys for unordered categories.",Outside (research),72
Categorical Palette Cap At 8,"Cap qualitative palette at 8 distinct hues; beyond, switch to color+pattern encoding",Prevents the ''rainbow legend'' where users can't map swatch to category,Patterns add visual noise; not all renderers support fills cleanly,"A choir has sections — sopranos, altos, tenors, basses; 30 sections is just noise",Outside (research),68
Horizontal Gridlines Only Light,"ax.yaxis.grid(True, color='#E5E5E5', linewidth=0.5); ax.xaxis.grid(False)",Single style rule removes the ''graph paper'' look,Sparse gridlines hurt precise reading,"Gridlines are like ruled notebook lines — helpful, but if as dark as the handwriting they win the fight. Whisper them","Inside: ascent-renderer, brad, design-variants + outside research",85
Direct Labeling Over Legend,"matplotlib ax.text(x[-1], y[-1], label, va='center'); plotly mode='lines+text', textposition='middle right' — label endpoints directly",Endpoints known deterministically; eliminates legend eye-saccades,Crowded endpoints need de-overlap logic,"Instead of ''red line is Apple,'' write ''Apple'' right at the tip — name tags, not a seating chart",Outside (research),70
Reference Lines Muted,"ax.axhline(target, color='#888', linestyle='--', linewidth=0.75, zorder=0) — drop a line for any target/quota carried by data","If data carries a target, drop the reference line automatically; cap at two",Cap at two — more crowd the chart quickly,A reference line is the speed limit sign on a chart — instantly shows which bars are speeding,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge + outside research",82
5-7 Round-Number Tick Marks,"matplotlib MaxNLocator(nbins=6, steps=[1,2,2.5,5,10]); plotly nticks=6 — round-number ticks",One-line idiom across libraries,Fixed step counts can lop off topmost data point,A ruler with marks every 2.7 inches is useless — 0/25/50/75/100 is a ruler people can read,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Horizontal Bars For Long Labels,"First try shorter labels; if still wide, switch to horizontal bar; only rotate as third choice and ≤45°",Decision tree is mechanical and avoids the unreadable-rotated-x-axis failure,Horizontal bars feel less ''default'' to some audiences,Either shorten the words or rotate the chart — never rotate the reader,"Inside: ascent-renderer, brad, design-variants + outside research",80
Small Multiples Over Spaghetti,"matplotlib plt.subplots(nrows, ncols, sharey=True); plotly make_subplots with shared range — trigger when n_series > 4",Replaces multi-series ''spaghetti'' with grid of small charts,Eats real estate; for slides cap at 2×3,"Eight lines on one chart is eight conversations at one dinner — eight small charts is eight phone calls, each clear",Outside (research),71
Sparklines Inline,D3 inline <svg width=80 height=20> with no axes; pair with current value beside it,Per-row trend at fixed pixel size embedded next to the metric — high data density without a chart slide,Loses absolute scale — always pair with numeric value,EKG strip next to the patient name — you see the heart racing without needing the full printout,Outside (research),67
Show Distribution Not Just Mean,"Box plot or violin; strip+jitter for ≤50 points; rule: if coefficient_of_variation > 0.3, refuse a single-mean bar",Variance-based switch prevents misleading single-point summaries,Executives find box plots foreign — label first use,''Average commute 30 min'' hides that half take 15 and a quarter take 75 — show the spread,Outside (research),67
Chart Source And As-Of Date,Every chart carries ''Source: ...'' and ''As of [date]''; missing either deducts on multiple QA dimensions simultaneously,Forces the data pipeline to carry source metadata and date through to render; documents pass institutional credibility,"Some data legitimately has no ''as of'' (team bios, diagrams) — requires judgement","Every number and chart needs a ''Source:'' line and a date — no source, no pass",Inside: doc-design-qa + outside research,81
Zero-Baseline Axis Honesty,S5 rubric criterion: axes start at zero or justify truncation with a break marker; truncated axis without justification deducts,Prevents auto-generated charts from using library defaults that start axes at data-min and visually exaggerate differences,Some chart types (yield comparisons in narrow band) legitimately benefit from truncation,Chart axes must start at zero unless the chart explicitly explains why they don't — a truncated axis that hides zero is a trust violation,Inside: doc-design-qa,67
Gross Vs Net Comparability,"S5 criterion: comparisons compare comparable things (gross vs gross, not gross vs net); requires data YAML metadata to carry the distinction",Prevents a common PE marketing error that draws regulatory scrutiny,Reviewer must know which data fields are gross vs net,"If you show your fund's gross returns next to a net benchmark, that is a defect — compare like with like",Inside: doc-design-qa,67
Denominator Clarity,S5: percentages state what they are a percentage of; chart and metric templates render denominator context alongside,Forces template to render denominator context — '87% LTV' must state 87% of what,Adds text to already-dense data pages; template designer must decide where denominator lives,''87%'' means nothing without saying 87% of what — every percentage must state its denominator somewhere on the page,Inside: doc-design-qa,67
Survivorship Bias Disclosure,S4 criterion: track record exclusions disclosed; data pipeline carries an exclusions flag and template renders a disclosure when track record is a subset,Required for institutional credibility on private-fund performance pages,Requires data source to distinguish included vs excluded deals; CLEAN by default if all included,"If the performance track record only shows winning deals and quietly excludes losses, that must be stated — silence is a defect",Inside: doc-design-qa,67
Forward-Looking Triple-Flag,"S3, S4 and S6 dimensions independently penalize projections without caveats — a projection without ''forward-looking'' label loses on three axes",Stacks rubric weight against any projection not flagged — makes 100/100 unachievable without explicit caveats,Three-dimension redundancy can feel disproportionate for a single missing line,Any projected number must be labeled as a projection with its assumptions or three separate rubric checks will catch it,Inside: doc-design-qa + outside research,76
Past-Performance Disclaimer,S6 (Compliance): performance pages carry past-performance disclaimer; missing on a performance page is a major defect under a heavier-weighted dimension (+2 severity),Performance and track-record templates must include boilerplate; failure scores a major deduction on an amplified dimension,"QA only checks presence, not wording accuracy — disclaimer text must be kept legally current",Any page showing returns or track record must carry the past-performance disclaimer — its absence is a major fail,Inside: doc-design-qa,67
Reg D 506(b) Compliance Check,S6: no general solicitation; auto-generated cover/subscription pages cannot use language patterns that constitute public solicitation under SEC rules,Prevents major legal defect in private-placement documents,Reviewer must know current SEC interpretation of ''general solicitation'' — the rubric does not define the boundary,"If the document is a private placement under Reg D 506(b), it cannot contain language that looks like a public advertisement","Inside: design-variants, doc-design-qa",70
Past Performance Date Anchoring,S3 and S5: every data point has an ''as of'' date; both dimensions deduct for missing dates,Requires data YAML and templates to carry and display a date field; missing dates fail two rubric dimensions,Some data has no meaningful ''as of'' date — requires judgement,Every number shown to an LP needs a date — ''Our portfolio is X'' without ''as of Q1 2026'' is a defect,Inside: doc-design-qa,67
Institutional Peer Benchmark,"E4 (Professional Polish): peer comparison vs top-tier PE fund marketing (BCRED, Apollo, Ares prospectuses); reviewer asks ''would this hold up next to a Blackstone product?''",Sets the quality ceiling at named institutional comparables rather than an abstract ''professional'' bar,Subjective — requires reviewer familiarity with those materials,"The bar for ''professional polish'' is a Blackstone or Apollo fund document — if it would look out of place next to those, it fails",Inside: doc-design-qa,67
PNG Dimension Cap 2000px,Verify every PNG is ≤2000px on both edges before any reviewer call; recommended render: pdftoppm -r 150 -png (~1275×1650px for US Letter) or sips -Z 1800 as safety net,Exceeding the Anthropic API cap locks the conversation unrecoverably until /clear — a hard precondition before any review,Lower DPI reduces fidelity for fine-grained text checks; 150 DPI may miss small-font defects,"Every screenshot fed to the reviewer must be no wider and no taller than 2000 pixels, or the conversation goes unresponsive",Inside: doc-design-qa,67
Compact Cadence Every 8 Pages,After every ~8 page iterations run /compact to flush old screenshots; the first ''image could not be processed and was removed'' warning means buffer is degraded — stop and compact,Prevents accumulated PNG context from degrading reviewer accuracy on long documents,/compact discards context — orchestrator must re-establish page-map state after each flush,"Like a darkroom that has to dump used developer fluid every few prints — once the chemistry goes off, every photo afterward comes out wrong.","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Wigum Anti-Loop Escalation,"Track per-(criterion_id, page) WARNING occurrences; after 3 consecutive iterations with same WARNING, escalate to ERROR. Reset to 0 for keys not seen in current iteration",Some visual defects are LLM-judgment-dependent — reviewer flips pass/fail on borderline; escalation forces convergence by iteration 3,Hardcoded 3-iteration threshold; legitimate WARNINGs needing user-side changes artificially escalate,Like a building inspector who gives two warnings before writing a violation — third time is a citation that stops the project,"Inside: doc-design-qa, ultimate-designer",70
Convergence Gate STALL,After each Wigum iteration compare deduction count to previous; if same or increased → STALL → escalate to user; loop must show strictly decreasing deductions,Prevents infinite fix-break cycles where fixing one thing breaks another; forces human intervention when the loop is not making progress,A single introduced defect terminates a loop that was otherwise converging — overly sensitive in early iterations,"Every iteration must make things better, not just different — if the score plateaus or drops, stop and ask the human",Inside: doc-design-qa,67
Per-Page Iteration Ceiling,"Default max 5 iterations per page (configurable); when max is reached → MAX_ITER escalation to user, same flow as STALL",Caps token spend and prevents runaway loops on intractable pages; forces human judgement when automation can't fully resolve a page,Complex pages may legitimately need more than 5 iterations; default may be too low for dense data pages,"The automated fix loop will try at most five times on each page — after five tries, it stops and asks the human what to do","Inside: design-variants, doc-design-qa, ultimate-designer",73
Screenshot Authority Override,"Reviewer only sees the rendered PNG, never source code: ''if it looks wrong in the PNG, it IS wrong — regardless of what the source code says''","Forces QA to catch rendering bugs that exist only at paint time — misaligned elements, wrong font rendering, invisible overlays",Cannot catch data errors that render correctly (a wrong number displayed cleanly); requires a reliable screenshot pipeline,"The screenshot is the final arbiter — a pixel that looks broken is broken, full stop","Inside: brad, design-variants, doc-design-qa + outside research",80
Fix-List Independence Wall,"Reviewer prompt explicitly excludes build script path, prior fix list, Fixer notes, and any ''verify that X was fixed'' language",Prevents confirmation bias — the Reviewer cannot be primed to confirm what it expects; each iteration is a genuinely independent evaluation,Slightly higher token cost; cannot leverage iteration history to speed scoring,Each new reviewer is a fresh pair of eyes with no idea what the previous review said or what was changed,Inside: doc-design-qa,67
Evidence-Anchored Deductions,"Reviewer quotes specific visual evidence for every deduction: location, text content, background color; ''unreadable at this resolution'' beats guessing",Forces the reviewer to ground every finding in what is actually visible; prevents false positives from hallucinated content,Adds verbosity to reviewer output; reviewer may still confabulate plausible-sounding visual descriptions,"Every defect must be pinned to something the reviewer can actually see — location, words, colors. Guessing is prohibited",Inside: doc-design-qa + outside research,78
Page-Type Severity Weighting,Heavier dimensions (page-type-specific) apply +2 to deduction severity; lighter dimensions apply -1; 12 page types mapped to heavier/lighter dimensions,A missing source citation on a Market Thesis page scores harder than on a Team page — calibrates QA pressure to what matters per context,Increases rubric complexity; misclassified page type produces miscalibrated scores,The same flaw counts more on some page types than others — missing source citation hurts a data page more than a team-bio page,Inside: doc-design-qa,67
Card Baseline Alignment QA,E2 criterion: card/box alignment — same-level elements share baselines; misaligned cards or boxes on the same visual row are a deductible defect,Catches flexbox and grid layouts where card heights differ and content vertically shifts — common auto-gen failure mode,No tolerance specified; 1px baseline drift may be indistinguishable from intent in a screenshot,"If you have a row of metric cards, their text baselines must line up — cards that don't visually align are a layout defect","Inside: ascent-renderer, doc-design-qa + outside research",81
Eyebrow Footer Consistency,"E3 cross-page sweep: footer/header consistency — same position, same format across all pages; eyebrow and footer present on every page",Enforces every page carries the brand's navigation strip; catches pages where the template was applied inconsistently,No specification of what eyebrow must contain — reviewer infers from existing pages,"Every page must have its eyebrow and footer, in the same spot, formatted the same way as all the others","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",84
Zero Stray Artifacts,"E3: no artifacts — no stray rectangles, debug marks, rendering glitches; any visible artifact is a deductible defect","Catches invisible-in-source rendering artifacts (leftover debug shapes, PIL bounding boxes, CSS overflow boxes) that only appear in rendered output",Subjective at the margin — a deliberately subtle design element could be misclassified,"If there is a mystery box, line, or smudge on the page that does not belong to the design, it is a defect",Inside: doc-design-qa + outside research,76
Squint Test Hierarchy Gate,Generate Gaussian-blurred PNG of each page (convert -blur 0x12); inspect whether the most important element still dominates; automatable as screenshot QA with vision LLM,"Catches density inversions (caption louder than title, footer chrome louder than content) that pixel-perfect checks report as ''fine''","Subjective without a vision-LLM pairing; only catches hierarchy, not text errors",Take your glasses off and squint — whatever you can still see is what the page is about,Outside (research),67
Image Validation Quarantine,validate-image.py runs magic-byte plus Pillow decode before any API call; invalid files moved to _quarantine/,Downloaders silently save 404 HTML pages as .jpg; sending these to vision API returns sticky 400 that requires /clear — quarantine prevents the unrecoverable failure,HEIC files skip Pillow check; corrupt HEIC can still reach API; quarantine move is || true,Like a receiving dock that refuses to unload boxes that rattle wrong — never let bad input reach the expensive worker,Inside: ultimate-designer,67
Variant Eyebrow Stamp,Every variant slide carries a mandatory eyebrow label like ''V1 — DIRECTION NAME''; format ''V1 · EDITORIAL ATLAS'',"Prevents silent variant collapse — when three variants render and any two look similar, the user can still identify which code produced which slide",Occupies top-left corner always; must be stripped when the chosen variant becomes the main build,Like sticky-note labels on prototypes in a user-testing session — you want to know which is Prototype A before any discussion,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge + outside research",82
Structural Distinctness Mandate,"The 3 variants MUST be structurally distinct — not three color palettes of the same layout. Scaffold provides three separate top-level functions (variant_v1, variant_v2, variant_v3) each building from a blank slide",Forces compositional divergence rather than parameter-tweak divergence; a model without this produces same-grid different-colors variants,Harder to implement; each variant requires full slide-composition code; build time roughly 3× a shared function,"Asking a chef for three different dinners — pasta, curry, sandwich are different meals, not the same pasta in three sauce colors","Inside: design-variants, doc-design-qa",70
Three-Axis Direction Spread,"One conservative variant (Upgraded Rhythm, Tinted Paper); one structural (Two-Panel, Editorial Atlas, Band); one dramatic (Hero Quote Split, Cinematic Canvas, Photo-Break)",Prevents the model from clustering proposals around the path of least resistance — three different compositional axes guarantee real range,"Dramatic direction sometimes rejected as too radical; some deliverables (no imagery, dense tables) make dramatic unusable","A real estate agent showing one starter home, one mid-range, and one aspirational — not three mid-range houses with different carpet","Inside: ascent-renderer, brad, design-variants + outside research",80
Three-Variant Anti-Paralysis Cap,"3 is the sweet spot — more invites paralysis, fewer doesn't show range; allow 4 implicitly as blends but default to 3",Keeps the decision space human-sized; prevents hedging by producing many similar options,"3 is social convention, not mathematical optimum; some decisions genuinely benefit from 4","A car rental counter offering compact, midsize, full-size — not eight variants of midsize",Inside: design-variants + outside research,76
Named Compositional Directions,"10-entry catalog: Editorial Atlas, Cinematic Canvas, Hero Quote Split, Data-Dominant Strip, Band Composition, Upgraded Rhythm, Tinted Paper, Two-Panel Spread, Photo-Break, Diptych — each with canonical layout spec",Replaces vague aesthetic prompting (''make it more editorial'') with precise compositional contracts — the model implements a spec rather than inventing one,Catalog is finite; unique content types may not fit any direction cleanly,A design firm's pattern library — instead of describing ''something dramatic'' you say ''Cinematic Canvas'' and everyone knows the exact overlay opacity,Inside: design-variants + outside research,76
Scratch Deliverable Isolation,Variants always build into a separate variants.pptx in the same directory; the main build is only modified after the user explicitly selects a variant,Eliminates the most common failure mode of iterative visual refinement: accidentally corrupting the main deliverable mid-exploration,Requires duplicating or importing the main build's design constants; constants can drift,Sketching on tracing paper laid over a technical drawing — the original is never touched until the sketch is approved,Inside: design-variants,67
Diagnostic Language Gate,"Phase 1: 'data cards feel isolated because there's no visual connection to the narrative above,' not 'this looks bad'; surface 3-5 observable problems; if nothing concrete, ASK the user","Prevents manufactured criticism — a model without this gate invents problems to justify exploration, biasing variant direction toward solving non-problems","Requires genuine visual comprehension of the screenshot; if screenshot read fails, model may still invent",A doctor describing symptoms precisely (''the joint shows fluid accumulation'') before ordering tests — not ''your shoulder looks bad'',Inside: design-variants,67
Surgical Iteration Lock,"For each issue, make a single targeted edit and re-render; do NOT redesign; after 3 cycles without convergence stop and ask the user",Breaks the failure mode where integration issues become a license to redesign and scope creeps each iteration,3-cycle ceiling can be tight for complex integration issues (font fallback differences),A surgeon who fixes exactly the identified pathology and closes — not exploring adjacent tissue while in there,Inside: design-variants,67
Three-Tier Token Resolution,"Token order: medium constraints → theme → component token → core token → palette; QA test CLR-01: all color values reference tokens, not raw hex","Prevents agents from inventing one-off values; consistency emerges structurally, not from agent diligence",Authoring overhead; deep chains obscure which palette swatch a component actually resolves to,Like a building code that says ''use the approved load table'' rather than ''guess the weight'',"Inside: design-variants, doc-design-qa, forge + outside research",78
Personality Tokens Numeric Axes,"Five numeric scores: warmth, playfulness, energy, formality, density (each 0-10); modulate token selection across all design categories simultaneously",Anchors all local decisions to a single aesthetic register — without it agents make locally correct but globally inconsistent choices,"Score-to-token mapping is guidance, not formula; 0-10 scale is coarse",A character sheet in a tabletop RPG — a warmth score of 7 tells every player how the character reacts without scripting every scene,"Inside: ascent-renderer, forge, ultimate-designer + outside research",78
Personality-Toggle As First-Class Pattern,"Density toggle simultaneously changes 4 linked properties: component size tier, spacing scale, type tokens, grid mode — a documented pattern with defined scope, not a theme variant",One system with a documented toggle covers both density tiers — no parallel artifacts,True toggle requires all 4 changes driven by one CSS class — spec describes but doesn't code,Like an aircraft cockpit ''day/night'' display mode — one switch dims every instrument together,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge + outside research",82
Invariants Vs Variation Axes,"Two explicit sections: invariants (contrast ratios, base unit, typeface family, logo proportions) vs variation axes (hue rotation, corner radius, illustration pose)",Prevents generative agents from varying brand-breaking properties AND from fixing properties that should vary,Identifying invariants requires predicting identity-breaking violations — judgement call,"Like a jazz standard — chord changes are invariant, melody is variation",Inside: forge,67
Seeded Reproducible Imperfection,"Given the same seed or input, the same imperfection appears; variation ranges specified (stroke-width ±0.3px, card rotation ±0.5deg) but resolve deterministically",Stable analog aesthetic across renders; enables visual regression testing and client/server consistency,Spec requires seed but doesn't specify derivation (element ID? DOM position? explicit param?),"A casting mold — each piece feels unique, but pieces from the same mold are identical",Inside: forge,67
Contextual Override Priority,Fixed precedence: user preference > locale/a11y > content-type > user-role > viewport > data-volume > time > default; same-priority: later-defined wins,Deterministic conflict resolution when multiple adaptive rules apply simultaneously,Later-defined-wins is brittle (YAML order shouldn't dictate); user preference at top can override a11y,Like a legal hierarchy — federal > state > local; when rules conflict you always know which wins,Inside: forge + outside research,76
Reduced-Motion First-Class,"Required reduced_motion_policy field per animation: 3 acceptable strategies — disable, opacity-only, instant; ''reduce but slow down'' explicitly prohibited","Reduced-motion becomes part of the spec, not a CSS afterthought; closes the ''slower = less motion'' mistake",Three strategies don't cover loading spinners that must remain visible,Like a restaurant that designs the vegetarian menu at the same time as the regular menu — not as a single sad afterthought.,Inside: forge,67
